,Date,Country,Energy_MoM,Food_MoM,Total_MoM,core_MoM,exchange_rate,unemployment_rate,gdp_growth_MoM,Open,High,Low,Close,Adj Close,Volume,interest_rate
5717,2018-03-01,Italy,1.23921885,1.23921885,1.23921885,1.23921885,103.17,10.9,0.0332614793271605,-0.5093613894023812,-0.5064610130836119,-0.4949884999773606,-0.5047076969364575,-0.5047076969364575,-0.6401525181178702,0.0
5718,2018-03-01,Japan,2.3442044749999997,2.3442044749999997,2.3442044749999997,2.3442044749999997,97.64,2.5,0.0221417441202014,0.8373818168370231,0.8294338914953168,0.8229151658696353,0.8273693586683313,0.8273693586683313,0.5777617320658528,-0.1
5719,2018-03-01,United Kingdom,2.7,2.7,2.7,2.7,101.31,4.3,0.018591037151588,1.08608539413134,1.0968792750298977,1.107340101311192,1.0918251874565803,1.0918251874565803,0.3350617359168549,0.5
5720,2018-03-01,United States,2.972311925,2.972311925,2.972311925,2.972311925,92.53,4.0,0.2194537108982139,1.735769233187716,1.764610656999314,1.747011781796147,1.760937280047781,1.760937280047781,1.4993606915055209,1.625
5721,2018-04-01,Canada,2.8264518,2.8264518,2.8264518,2.8264518,103.34,5.8,0.2119269469759654,1.1621978756394016,1.154272861829229,1.1643856006719056,1.150515822594535,1.150448034227283,0.889464784404813,1.25
5722,2018-04-01,France,2.6292575,2.6292575,2.6292575,2.6292575,101.66,9.2,0.0683346685979715,0.8330884052869257,0.8389529370339713,0.8553062958472215,0.8608343974796449,0.8608343974796449,0.1378424529292235,0.0
5723,2018-04-01,Germany,1.6683265,1.6683265,1.6683265,1.6683265,101.32,3.3,0.2193632781152288,1.3021426481593328,1.2886523078251844,1.3112258282279068,1.3034173708224774,1.3034173708224774,0.4508328066024769,0.0
5724,2018-04-01,Italy,0.6847976250000001,0.6847976250000001,0.6847976250000001,0.6847976250000001,102.88,11.0,0.0196910803567735,-0.3191350120934026,-0.3278385582099403,-0.3132365368088252,-0.3132928308552271,-0.3132928308552271,-0.6104294671293278,0.0
5725,2018-04-01,Japan,1.6631667,1.6631667,1.6631667,1.6631667,96.04,2.5,0.1050154545588692,,,,,,,-0.1
5726,2018-04-01,United Kingdom,2.85,2.85,2.85,2.85,102.52,4.2,0.0526819312262893,1.3152342571830988,1.314102860456116,1.3363186605451405,1.318568486539572,1.318568486539572,0.5175425261329657,0.5
5727,2018-04-01,United States,3.2563999499999996,3.2563999499999996,3.2563999499999996,3.2563999499999996,92.6,4.0,0.1525024625905913,1.7977044116013854,1.786412378378409,1.782511673776958,1.7675490056817795,1.7675490056817795,1.604108987180752,1.625
5728,2018-05-01,Canada,3.77833505,3.77833505,3.77833505,3.77833505,103.1,5.9,0.2119269469759654,1.2207332906491022,1.2168846417623618,1.2293435835312645,1.2293849078441723,1.2292905597811388,1.6853229654779096,1.25
5729,2018-05-01,France,3.718026,3.718026,3.718026,3.718026,101.07,9.2,0.0683346685979715,0.809891615710457,0.7956563528524794,0.7958269675450063,0.7832046358726559,0.7832046358726559,1.196766872445897,0.0
5730,2018-05-01,Germany,2.8877725,2.8877725,2.8877725,2.8877725,100.95,3.2,0.2193632781152288,1.3446191978858206,1.3288478832156292,1.3075971392426582,1.301802317622514,1.301802317622514,1.8596875456119664,0.0
5731,2018-05-01,Italy,1.410487875,1.410487875,1.410487875,1.410487875,102.08,10.6,0.0196910803567735,-0.5704096491292678,-0.5625258907465706,-0.5833131505278454,-0.5812492282074596,-0.5812492282074596,1.259173639321424,0.0
5732,2018-05-01,Japan,1.751340075,1.751340075,1.751340075,1.751340075,95.85,2.2,0.1050154545588692,0.9403082082186264,0.936602941838,0.9480126997362016,0.9450012229213556,0.9450012229213556,1.423067979972813,-0.1
5733,2018-05-01,United Kingdom,3.0999999999999996,3.0999999999999996,3.0999999999999996,3.0999999999999996,100.88,4.1,0.0526819312262893,1.409097589550489,1.4043677405076924,1.4139214459774136,1.4031654747679625,1.4031654747679625,1.403171162175115,0.5
5734,2018-05-01,United States,4.209862375,4.209862375,4.209862375,4.209862375,95.89,3.8,0.1525024625905913,1.832691799007107,1.8227148107643163,1.831277518422111,1.820240697749416,1.820240697749416,1.894784768558041,1.625
5735,2018-06-01,Canada,4.2249775575,4.2249775575,4.2249775575,4.2249775575,101.53,6.0,0.2119269469759654,1.258371870982678,1.2584006641088965,1.273103439516153,1.2669764561671182,1.2668694488969412,1.0130992787548072,1.25
5736,2018-06-01,France,4.2314225,4.2314225,4.2314225,4.2314225,100.78,9.1,0.0683346685979715,0.7426910461667866,0.7355110347774768,0.7556355511158589,0.7356031231767695,0.7356031231767695,0.4789973499926986,0.0
5737,2018-06-01,Germany,3.0723945,3.0723945,3.0723945,3.0723945,100.7,3.2,0.2193632781152288,1.238697605407996,1.2352436803317275,1.2430990983769916,1.2349497307222677,1.2349497307222677,0.7320388516065763,0.0
5738,2018-06-01,Italy,2.13400635,2.13400635,2.13400635,2.13400635,101.98,10.7,0.0196910803567735,-0.5910439609169554,-0.5940547169158931,-0.584892545929711,-0.6005372057845223,-0.6005372057845223,-0.4142590156363355,0.0
5739,2018-06-01,Japan,2.139484675,2.139484675,2.139484675,2.139484675,96.1,2.4,0.1050154545588692,0.9573494727729616,0.9453931273728046,0.9534036973382624,0.956585653455445,0.956585653455445,0.4039604474494684,-0.1
5740,2018-06-01,United Kingdom,3.7,3.7,3.7,3.7,100.3,4.1,0.0526819312262893,1.3720330739967617,1.393962173985434,1.3960324921927012,1.3824794338110549,1.3824794338110549,0.3711023519774949,0.5
5741,2018-06-01,United States,4.3659859,4.3659859,4.3659859,4.3659859,97.57,4.0,0.1525024625905913,1.838284967181541,1.8417317443851664,1.847350730684602,1.8323040788255864,1.8323040788255864,1.5078990228041398,1.875
5742,2018-07-01,Canada,4.9296606,4.9296606,4.9296606,4.9296606,101.67,5.9,0.1458382301069705,1.2807289459403104,1.2808460553491638,1.2896532016721631,1.2941528962821909,1.2940367371627235,1.0404718889874098,1.5
5743,2018-07-01,France,4.83809475,4.83809475,4.83809475,4.83809475,100.66,9.0,0.1560764532594456,0.8509391094788081,0.8437551212326021,0.8693169377031992,0.85498502485377,0.85498502485377,0.5003119001077624,0.0
5744,2018-07-01,Germany,2.9451265,2.9451265,2.9451265,2.9451265,101.18,3.2,0.5846747350887964,1.347656919541464,1.341527111935971,1.3508402063270806,1.3466727941714045,1.3466727941714045,0.611136814177749,0.0
5745,2018-07-01,Italy,3.09383125,3.09383125,3.09383125,3.09383125,102.28,10.3,0.0252006257294701,-0.5643048231565791,-0.5448599336711525,-0.5432208057112566,-0.5285124793891615,-0.5285124793891615,-0.3683217501169764,0.0
